seed, starting_position, habit_result, habit_len, habit_reward, trajectory
15,(0;1),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
12,(14;1),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
15,(3;6),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
23,(8;7),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
16,(0;0),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
16,(0;1),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
13,(14;1),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
24,(8;7),0,6,-100,0;7/0;6/0;5/1;5/1;6/1;5
17,(0;1),0,9,-100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1
16,(3;6),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
17,(0;0),0,13,-100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3
25,(8;7),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
14,(14;1),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
18,(0;1),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
18,(0;0),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
